Retailer,Region,State,City,Product,Price per Unit,Units Sold,Operating Profit,Operating Margin,Sales Method,Month,Year,Day,Season,Correct Total Sales,,,,,,,
Amazon,West,Alaska,Anchorage,Women's Apparel,55,300,4950,0.3,Outlet,January,2021,24,Winter,16500,,,,,,,
Amazon,West,Alaska,Anchorage,Men's Street Footwear,55,575,11068.75,0.35,Outlet,February,2021,22,Winter,31625,,,,,,,
Amazon,West,Alaska,Anchorage,Men's Athletic Footwear,55,225,4331.25,0.35,Outlet,February,2021,22,Winter,12375,,,,,,,
Amazon,West,Alaska,Anchorage,Women's Street Footwear,45,275,3093.75,0.25,Outlet,February,2021,22,Winter,12375,,,,,,,
Amazon,West,Alaska,Anchorage,Women's Athletic Footwear,50,175,2187.5,0.25,Outlet,February,2021,22,Winter,8750,,,,,,,
Amazon,West,Alaska,Anchorage,Men's Apparel,65,250,4062.5,0.25,Outlet,February,2021,22,Winter,16250,,,,,,,
Amazon,West,Alaska,Anchorage,Women's Apparel,55,350,5775,0.3,Outlet,February,2021,22,Winter,19250,,,,,,,
Amazon,West,Alaska,Anchorage,Men's Street Footwear,55,545,10491.25,0.35,Outlet,March,2021,20,Spring,29975,,,,,,,
Amazon,West,Alaska,Anchorage,Men's Athletic Footwear,55,250,4812.5,0.35,Outlet,March,2021,20,Spring,13750,,,,,,,
Amazon,West,Alaska,Anchorage,Women's Street Footwear,45,275,3093.75,0.25,Outlet,March,2021,20,Spring,12375,,,,,,,
Amazon,West,Alaska,Anchorage,Women's Athletic Footwear,50,125,1562.5,0.25,Outlet,March,2021,20,Spring,6250,,,,,,,
Amazon,West,Alaska,Anchorage,Men's Apparel,65,175,2843.75,0.25,Outlet,March,2021,20,Spring,11375,,,,,,,
Amazon,West,Alaska,Anchorage,Women's Apparel,55,275,4537.5,0.3,Outlet,March,2021,20,Spring,15125,,,,,,,
Amazon,West,Alaska,Anchorage,Men's Street Footwear,55,525,10106.25,0.35,Outlet,April,2021,21,Spring,28875,,,,,,,
Amazon,West,Alaska,Anchorage,Men's Athletic Footwear,55,225,4331.25,0.35,Outlet,April,2021,21,Spring,12375,,,,,,,
Amazon,West,Alaska,Anchorage,Women's Street Footwear,45,225,2531.25,0.25,Outlet,April,2021,21,Spring,10125,,,,,,,
Amazon,West,Alaska,Anchorage,Women's Athletic Footwear,50,150,1875,0.25,Outlet,April,2021,21,Spring,7500,,,,,,,
Amazon,West,Alaska,Anchorage,Men's Apparel,60,150,2250,0.25,Outlet,April,2021,21,Spring,9000,,,,,,,
Amazon,West,Alaska,Anchorage,Women's Apparel,50,300,4500,0.3,Outlet,April,2021,21,Spring,15000,,,,,,,
Amazon,West,Alaska,Anchorage,Men's Street Footwear,65,570,12967.5,0.35,Outlet,May,2021,20,Spring,37050,,,,,,,
Amazon,West,Alaska,Anchorage,Men's Athletic Footwear,60,275,5775,0.35,Outlet,May,2021,20,Spring,16500,,,,,,,
Amazon,West,Alaska,Anchorage,Women's Street Footwear,55,300,4125,0.25,Outlet,May,2021,20,Spring,16500,,,,,,,
Amazon,West,Alaska,Anchorage,Women's Athletic Footwear,55,250,3437.5,0.25,Outlet,May,2021,20,Spring,13750,,,,,,,
Amazon,West,Alaska,Anchorage,Men's Apparel,65,275,4468.75,0.25,Outlet,May,2021,20,Spring,17875,,,,,,,
Amazon,West,Alaska,Anchorage,Women's Apparel,70,400,8400,0.3,Outlet,May,2021,20,Spring,28000,,,,,,,
Amazon,West,Alaska,Anchorage,Men's Street Footwear,65,650,14787.5,0.35,Outlet,June,2021,22,Summer,42250,,,,,,,
Amazon,West,Alaska,Anchorage,Men's Athletic Footwear,60,400,8400,0.35,Outlet,June,2021,22,Summer,24000,,,,,,,
Amazon,West,Alaska,Anchorage,Women's Street Footwear,55,325,4468.75,0.25,Outlet,June,2021,22,Summer,17875,,,,,,,
Amazon,West,Alaska,Anchorage,Women's Athletic Footwear,55,300,4125,0.25,Outlet,June,2021,22,Summer,16500,,,,,,,
Amazon,West,Alaska,Anchorage,Men's Apparel,65,300,4875,0.25,Outlet,June,2021,22,Summer,19500,,,,,,,
Amazon,West,Alaska,Anchorage,Women's Apparel,70,450,9450,0.3,Outlet,June,2021,22,Summer,31500,,,,,,,
Amazon,West,Alaska,Anchorage,Men's Street Footwear,65,675,15356.25,0.35,Outlet,July,2021,20,Summer,43875,,,,,,,
Amazon,West,Alaska,Anchorage,Men's Athletic Footwear,60,425,8925,0.35,Outlet,July,2021,20,Summer,25500,,,,,,,
Amazon,West,Alaska,Anchorage,Women's Street Footwear,55,350,4812.5,0.25,Outlet,July,2021,20,Summer,19250,,,,,,,
Amazon,West,Alaska,Anchorage,Women's Athletic Footwear,55,300,4125,0.25,Outlet,July,2021,20,Summer,16500,,,,,,,
Amazon,West,Alaska,Anchorage,Men's Apparel,65,325,5281.25,0.25,Outlet,July,2021,20,Summer,21125,,,,,,,
Amazon,West,Alaska,Anchorage,Women's Apparel,70,500,10500,0.3,Outlet,July,2021,20,Summer,35000,,,,,,,
Amazon,West,Alaska,Anchorage,Men's Street Footwear,65,650,14787.5,0.35,Outlet,August,2021,21,Summer,42250,,,,,,,
Amazon,West,Alaska,Anchorage,Men's Athletic Footwear,60,425,8925,0.35,Outlet,August,2021,21,Summer,25500,,,,,,,
Amazon,West,Alaska,Anchorage,Women's Street Footwear,55,350,4812.5,0.25,Outlet,August,2021,21,Summer,19250,,,,,,,
Amazon,West,Alaska,Anchorage,Women's Athletic Footwear,55,250,3437.5,0.25,Outlet,August,2021,21,Summer,13750,,,,,,,
Amazon,West,Alaska,Anchorage,Men's Apparel,65,225,3656.25,0.25,Outlet,August,2021,21,Summer,14625,,,,,,,
Amazon,West,Alaska,Anchorage,Women's Apparel,70,400,8400,0.3,Outlet,August,2021,21,Summer,28000,,,,,,,
Amazon,West,Alaska,Anchorage,Men's Street Footwear,65,525,11943.75,0.35,Outlet,September,2021,20,Autumn,34125,,,,,,,
Amazon,West,Alaska,Anchorage,Men's Athletic Footwear,60,325,6825,0.35,Outlet,September,2021,20,Autumn,19500,,,,,,,
Amazon,West,Alaska,Anchorage,Women's Street Footwear,55,225,3093.75,0.25,Outlet,September,2021,20,Autumn,12375,,,,,,,
Amazon,West,Alaska,Anchorage,Women's Athletic Footwear,55,200,2750,0.25,Outlet,September,2021,20,Autumn,11000,,,,,,,
Amazon,West,Alaska,Anchorage,Men's Apparel,65,200,3250,0.25,Outlet,September,2021,20,Autumn,13000,,,,,,,
Amazon,West,Alaska,Anchorage,Women's Apparel,70,300,6300,0.3,Outlet,September,2021,20,Autumn,21000,,,,,,,
Amazon,West,Alaska,Anchorage,Men's Street Footwear,70,450,11025,0.35,Outlet,October,2021,22,Autumn,31500,,,,,,,
Amazon,West,Alaska,Anchorage,Men's Athletic Footwear,65,275,6256.25,0.35,Outlet,October,2021,22,Autumn,17875,,,,,,,
Amazon,West,Alaska,Anchorage,Women's Street Footwear,65,175,2843.75,0.25,Outlet,October,2021,22,Autumn,11375,,,,,,,
Amazon,West,Alaska,Anchorage,Women's Athletic Footwear,65,150,2437.5,0.25,Outlet,October,2021,22,Autumn,9750,,,,,,,
Amazon,West,Alaska,Anchorage,Men's Apparel,75,150,2812.5,0.25,Outlet,October,2021,22,Autumn,11250,,,,,,,
Amazon,West,Alaska,Anchorage,Women's Apparel,80,275,6600,0.3,Outlet,October,2021,22,Autumn,22000,,,,,,,
Amazon,West,Alaska,Anchorage,Men's Street Footwear,75,425,11156.25,0.35,Outlet,November,2021,21,Autumn,31875,,,,,,,
Amazon,West,Alaska,Anchorage,Men's Athletic Footwear,65,300,6825,0.35,Outlet,November,2021,21,Autumn,19500,,,,,,,
Amazon,West,Alaska,Anchorage,Women's Street Footwear,65,320,5200,0.25,Outlet,November,2021,21,Autumn,20800,,,,,,,
Amazon,West,Alaska,Anchorage,Women's Athletic Footwear,65,300,4875,0.25,Outlet,November,2021,21,Autumn,19500,,,,,,,
Amazon,West,Alaska,Anchorage,Men's Apparel,75,275,5156.25,0.25,Outlet,November,2021,21,Autumn,20625,,,,,,,
Amazon,West,Alaska,Anchorage,Women's Apparel,80,375,9000,0.3,Outlet,November,2021,21,Autumn,30000,,,,,,,
Amazon,West,Alaska,Anchorage,Men's Street Footwear,75,600,15750,0.35,Outlet,December,2021,20,Winter,45000,,,,,,,
Amazon,West,Alaska,Anchorage,Men's Athletic Footwear,65,400,9100,0.35,Outlet,December,2021,20,Winter,26000,,,,,,,
Amazon,Southeast,North Carolina,Charlotte,Women's Street Footwear,60,725,17400,0.4,Online,December,2021,2,Winter,43500,,,,,,,
Amazon,Southeast,North Carolina,Charlotte,Women's Athletic Footwear,60,675,16200,0.4,Online,December,2021,2,Winter,40500,,,,,,,
Amazon,Southeast,North Carolina,Charlotte,Men's Apparel,70,675,16537.5,0.35,Online,December,2021,2,Winter,47250,,,,,,,
Amazon,Southeast,North Carolina,Charlotte,Women's Apparel,75,775,29062.5,0.5,Online,December,2021,2,Winter,58125,,,,,,,
Amazon,Southeast,North Carolina,Charlotte,Men's Street Footwear,35,775,10850,0.4,Online,January,2021,13,Winter,27125,,,,,,,
Amazon,Southeast,North Carolina,Charlotte,Men's Athletic Footwear,35,575,7043.75,0.35,Online,January,2021,13,Winter,20125,,,,,,,
Amazon,Southeast,North Carolina,Charlotte,Women's Street Footwear,25,575,5750,0.4,Online,January,2021,13,Winter,14375,,,,,,,
Amazon,Southeast,North Carolina,Charlotte,Women's Athletic Footwear,30,425,5100,0.4,Online,January,2021,13,Winter,12750,,,,,,,
Amazon,Southeast,North Carolina,Charlotte,Men's Apparel,45,475,7481.25,0.35,Online,January,2021,13,Winter,21375,,,,,,,
Amazon,Southeast,North Carolina,Charlotte,Women's Apparel,35,575,10062.5,0.5,Online,January,2021,13,Winter,20125,,,,,,,
Amazon,Southeast,North Carolina,Charlotte,Men's Street Footwear,35,825,11550,0.4,Online,February,2021,11,Winter,28875,,,,,,,
Amazon,Southeast,North Carolina,Charlotte,Men's Athletic Footwear,35,475,5818.75,0.35,Online,February,2021,11,Winter,16625,,,,,,,
Amazon,Southeast,North Carolina,Charlotte,Women's Street Footwear,25,525,5250,0.4,Online,February,2021,11,Winter,13125,,,,,,,
Amazon,Midwest,Ohio,Columbus,Women's Athletic Footwear,30,375,4500,0.4,Online,February,2021,11,Winter,11250,,,,,,,
Amazon,Midwest,Ohio,Columbus,Men's Apparel,45,450,7087.5,0.35,Online,February,2021,11,Winter,20250,,,,,,,
Amazon,Midwest,Ohio,Columbus,Women's Apparel,30,550,8250,0.5,Online,February,2021,11,Winter,16500,,,,,,,
Amazon,Midwest,Ohio,Columbus,Men's Street Footwear,30,770,9240,0.4,Online,March,2021,9,Spring,23100,,,,,,,
Amazon,Midwest,Ohio,Columbus,Men's Athletic Footwear,30,450,4725,0.35,Online,March,2021,9,Spring,13500,,,,,,,
Amazon,Midwest,Ohio,Columbus,Women's Street Footwear,20,475,3800,0.4,Online,March,2021,9,Spring,9500,,,,,,,
Amazon,Midwest,Ohio,Columbus,Women's Athletic Footwear,25,325,3250,0.4,Online,March,2021,9,Spring,8125,,,,,,,
Amazon,Midwest,Ohio,Columbus,Men's Apparel,40,375,5250,0.35,Online,March,2021,9,Spring,15000,,,,,,,
Amazon,Midwest,Ohio,Columbus,Women's Apparel,30,475,7125,0.5,Online,March,2021,9,Spring,14250,,,,,,,
Amazon,Midwest,Ohio,Columbus,Men's Street Footwear,30,725,8700,0.4,Online,April,2021,10,Spring,21750,,,,,,,
Amazon,Midwest,Ohio,Columbus,Men's Athletic Footwear,30,425,4462.5,0.35,Online,April,2021,10,Spring,12750,,,,,,,
Amazon,Midwest,Ohio,Columbus,Women's Street Footwear,20,425,3400,0.4,Online,April,2021,10,Spring,8500,,,,,,,
Amazon,Midwest,Ohio,Columbus,Women's Athletic Footwear,25,350,3500,0.4,Online,April,2021,10,Spring,8750,,,,,,,
Amazon,Midwest,Ohio,Columbus,Men's Apparel,45,375,5906.25,0.35,Online,April,2021,10,Spring,16875,,,,,,,
Amazon,Midwest,Ohio,Columbus,Women's Apparel,35,525,9187.5,0.5,Online,April,2021,10,Spring,18375,,,,,,,
Amazon,Midwest,Ohio,Columbus,Men's Street Footwear,45,795,14310,0.4,Online,May,2021,9,Spring,35775,,,,,,,
Amazon,Midwest,Ohio,Columbus,Men's Athletic Footwear,45,500,7875,0.35,Online,May,2021,9,Spring,22500,,,,,,,
Amazon,Midwest,Ohio,Columbus,Women's Street Footwear,40,475,7600,0.4,Online,May,2021,9,Spring,19000,,,,,,,
Amazon,Midwest,Ohio,Columbus,Women's Athletic Footwear,40,425,6800,0.4,Online,May,2021,9,Spring,17000,,,,,,,
Amazon,Midwest,Ohio,Columbus,Men's Apparel,50,450,7875,0.35,Online,May,2021,9,Spring,22500,,,,,,,
Amazon,Midwest,Ohio,Columbus,Women's Apparel,55,550,15125,0.5,Online,May,2021,9,Spring,30250,,,,,,,
Amazon,Midwest,Ohio,Columbus,Men's Street Footwear,50,800,16000,0.4,Online,June,2021,11,Summer,40000,,,,,,,
Amazon,Midwest,Ohio,Columbus,Men's Athletic Footwear,45,550,8662.5,0.35,Online,June,2021,11,Summer,24750,,,,,,,
Amazon,Midwest,Ohio,Columbus,Women's Street Footwear,50,525,10500,0.4,Online,June,2021,11,Summer,26250,,,,,,,
Amazon,Midwest,Ohio,Columbus,Women's Athletic Footwear,50,500,10000,0.4,Online,June,2021,11,Summer,25000,,,,,,,
Amazon,Midwest,Ohio,Columbus,Men's Apparel,65,500,11375,0.35,Online,June,2021,11,Summer,32500,,,,,,,
Amazon,Midwest,Ohio,Columbus,Women's Apparel,70,675,23625,0.5,Online,June,2021,11,Summer,47250,,,,,,,
Amazon,Midwest,Ohio,Columbus,Men's Street Footwear,65,900,23400,0.4,Online,July,2021,9,Summer,58500,,,,,,,
Amazon,Midwest,Ohio,Columbus,Men's Athletic Footwear,60,650,13650,0.35,Online,July,2021,9,Summer,39000,,,,,,,
Amazon,Midwest,Ohio,Columbus,Women's Street Footwear,55,575,12650,0.4,Online,July,2021,9,Summer,31625,,,,,,,
Amazon,Midwest,Ohio,Columbus,Women's Athletic Footwear,55,525,11550,0.4,Online,July,2021,9,Summer,28875,,,,,,,
Amazon,Midwest,Ohio,Columbus,Men's Apparel,65,550,12512.5,0.35,Online,July,2021,9,Summer,35750,,,,,,,
Amazon,Midwest,Ohio,Columbus,Women's Apparel,70,725,25375,0.5,Online,July,2021,9,Summer,50750,,,,,,,
Amazon,Midwest,Ohio,Columbus,Men's Street Footwear,65,875,22750,0.4,Online,August,2021,10,Summer,56875,,,,,,,
Amazon,Midwest,Ohio,Columbus,Men's Athletic Footwear,60,650,13650,0.35,Online,August,2021,10,Summer,39000,,,,,,,
Amazon,Midwest,Ohio,Columbus,Women's Street Footwear,55,575,12650,0.4,Online,August,2021,10,Summer,31625,,,,,,,
Amazon,Midwest,Ohio,Columbus,Women's Athletic Footwear,45,525,9450,0.4,Online,August,2021,10,Summer,23625,,,,,,,
Amazon,Midwest,Ohio,Columbus,Men's Apparel,55,500,9625,0.35,Online,August,2021,10,Summer,27500,,,,,,,
Amazon,Midwest,Ohio,Columbus,Women's Apparel,60,675,20250,0.5,Online,August,2021,10,Summer,40500,,,,,,,
Amazon,Midwest,Ohio,Columbus,Men's Street Footwear,55,775,17050,0.4,Online,September,2021,9,Autumn,42625,,,,,,,
Amazon,Midwest,Ohio,Columbus,Men's Athletic Footwear,50,575,10062.5,0.35,Online,September,2021,9,Autumn,28750,,,,,,,
Amazon,Midwest,Ohio,Columbus,Women's Street Footwear,25,475,4750,0.4,Online,September,2021,9,Autumn,11875,,,,,,,
Amazon,Midwest,Ohio,Columbus,Women's Athletic Footwear,25,450,4500,0.4,Online,September,2021,9,Autumn,11250,,,,,,,
Amazon,Midwest,Ohio,Columbus,Men's Apparel,35,450,5512.5,0.35,Online,September,2021,9,Autumn,15750,,,,,,,
Amazon,Midwest,Ohio,Columbus,Women's Apparel,40,550,11000,0.5,Online,September,2021,9,Autumn,22000,,,,,,,
Amazon,Midwest,Ohio,Columbus,Men's Street Footwear,40,725,11600,0.4,Online,October,2021,11,Autumn,29000,,,,,,,
Amazon,Midwest,Ohio,Columbus,Men's Athletic Footwear,30,550,5775,0.35,Online,October,2021,11,Autumn,16500,,,,,,,
Amazon,Midwest,Ohio,Columbus,Women's Street Footwear,30,425,5100,0.4,Online,October,2021,11,Autumn,12750,,,,,,,
Amazon,Midwest,Ohio,Columbus,Women's Athletic Footwear,30,400,4800,0.4,Online,October,2021,11,Autumn,12000,,,,,,,
Amazon,Midwest,Ohio,Columbus,Men's Apparel,40,400,5600,0.35,Online,October,2021,11,Autumn,16000,,,,,,,
Amazon,Midwest,Ohio,Columbus,Women's Apparel,40,525,10500,0.5,Online,October,2021,11,Autumn,21000,,,,,,,
Amazon,Midwest,Ohio,Columbus,Men's Street Footwear,35,675,9450,0.4,Online,November,2021,10,Autumn,23625,,,,,,,
Amazon,Midwest,Ohio,Columbus,Men's Athletic Footwear,25,500,4375,0.35,Online,November,2021,10,Autumn,12500,,,,,,,
Amazon,Midwest,Ohio,Columbus,Women's Street Footwear,35,445,6230,0.4,Online,November,2021,10,Autumn,15575,,,,,,,
Amazon,Midwest,Ohio,Columbus,Women's Athletic Footwear,65,500,13000,0.4,Online,November,2021,10,Autumn,32500,,,,,,,
Amazon,Midwest,Ohio,Columbus,Men's Apparel,80,475,13300,0.35,Online,November,2021,10,Autumn,38000,,,,,,,
Amazon,Midwest,Ohio,Columbus,Women's Apparel,80,575,23000,0.5,Online,November,2021,10,Autumn,46000,,,,,,,
Amazon,Midwest,Ohio,Columbus,Men's Street Footwear,75,825,24750,0.4,Online,December,2021,9,Winter,61875,,,,,,,
Amazon,Midwest,Ohio,Columbus,Men's Athletic Footwear,65,625,14218.75,0.35,Online,December,2021,9,Winter,40625,,,,,,,
Amazon,Midwest,Ohio,Columbus,Men's Street Footwear,40,500,8000,0.4,Online,January,2021,22,Winter,20000,,,,,,,
